player_name,team,position,nation,attempts_total,attempts_on_target,attempts_off_target,attempts_blocked
Kylian Mbappé,Real Madrid,STRIKER,FRA,46.0,24.0,11.0,11.0
Vinícius Júnior,Real Madrid,UNKNOWN,BRA,46.0,15.0,17.0,14.0
Victor Osimhen,Galatasaray,STRIKER,NGA,41.0,25.0,11.0,5.0
Julián Alvarez,Atleti,UNKNOWN,ARG,38.0,17.0,12.0,9.0
Erling Haaland,Man City,UNKNOWN,NOR,35.0,20.0,13.0,2.0
Vitinha,Paris,UNKNOWN,POR,35.0,13.0,8.0,14.0
Hugo Ekitiké,Liverpool,UNKNOWN,FRA,35.0,12.0,14.0,9.0
Harry Kane,Bayern München,STRIKER,ENG,34.0,17.0,9.0,8.0
Mason Greenwood,Marseille,STRIKER,ENG,33.0,16.0,6.0,11.0
Khvicha Kvaratskhelia,Paris,UNKNOWN,GEO,32.0,10.0,10.0,12.0
Luis Suárez,Sporting CP,STRIKER,COL,31.0,14.0,9.0,8.0
Michael Olise,Bayern München,UNKNOWN,FRA,30.0,12.0,7.0,11.0
Dominik Szoboszlai,Liverpool,CENTRAL_MIDFIELDER,HUN,29.0,14.0,6.0,9.0
Harvey Barnes,Newcastle,WINGER,ENG,28.0,18.0,4.0,6.0
Alexander Sørloth,Atleti,STRIKER,NOR,28.0,14.0,7.0,7.0
Lamine Yamal,Barcelona,UNKNOWN,ESP,28.0,12.0,8.0,8.0
Marcus Thuram,Inter,WINGER,FRA,28.0,5.0,12.0,11.0
Christos Tzolis,Club Brugge,WINGER,GRE,27.0,11.0,8.0,8.0
Anthony Gordon,Newcastle,FORWARD,ENG,26.0,14.0,6.0,6.0
Bukayo Saka,Arsenal,WINGER,ENG,26.0,13.0,3.0,10.0
Folarin Balogun,Monaco,STRIKER,USA,26.0,12.0,10.0,4.0
Federico Dimarco,Inter,UNKNOWN,ITA,26.0,12.0,10.0,4.0
Maghnes Akliouche,Monaco,UNKNOWN,FRA,26.0,11.0,6.0,9.0
Pio Esposito,Inter,UNKNOWN,ITA,26.0,5.0,15.0,6.0
Kasper Høgh,Bodø/Glimt,UNKNOWN,DEN,25.0,12.0,9.0,4.0
Mohamed Salah,Liverpool,WINGER,EGY,25.0,12.0,9.0,4.0
Ayoub El Kaabi,Olympiacos,UNKNOWN,MAR,25.0,10.0,5.0,10.0
Kenan Yıldız,Juventus,UNKNOWN,TUR,25.0,9.0,7.0,9.0
Lautaro Martínez,Inter,STRIKER,ARG,24.0,9.0,5.0,10.0
Nikola Krstović,Atalanta,STRIKER,MNE,24.0,8.0,8.0,8.0
Francisco Trincão,Sporting CP,STRIKER,POR,24.0,7.0,9.0,8.0
Robert Lewandowski,Barcelona,STRIKER,POL,23.0,12.0,4.0,7.0
Bradley Barcola,Paris,UNKNOWN,FRA,23.0,10.0,7.0,6.0
Luis Díaz,Bayern München,CENTRAL_MIDFIELDER,COL,23.0,10.0,4.0,9.0
Marcus Rashford,Barcelona,STRIKER,ENG,23.0,7.0,9.0,7.0
Ademola Lookman,Atleti,WINGER,NGA,23.0,7.0,2.0,14.0
Viktor Gyökeres,Arsenal,UNKNOWN,SWE,22.0,10.0,10.0,2.0
Pierre-Emerick Aubameyang,Marseille,STRIKER,GAB,22.0,10.0,7.0,5.0
Fermín López,Barcelona,CENTRAL_MIDFIELDER,ESP,21.0,11.0,8.0,2.0
Lennart Karl,Bayern München,UNKNOWN,GER,21.0,9.0,11.0,1.0
Arda Güler,Real Madrid,UNKNOWN,TUR,21.0,7.0,7.0,7.0
Giuliano Simeone,Atleti,UNKNOWN,ARG,21.0,5.0,10.0,6.0
Vangelis Pavlidis,Benfica,STRIKER,GRE,21.0,5.0,9.0,7.0
Raphinha,Barcelona,WINGER,BRA,20.0,10.0,6.0,4.0
Antoine Griezmann,Atleti,STRIKER,FRA,20.0,10.0,4.0,6.0
Camilo Duran,Qarabağ,UNKNOWN,COL,20.0,10.0,4.0,6.0
Alejandro Grimaldo,Leverkusen,FULL_BACK,ESP,20.0,8.0,8.0,4.0
Gelson Martins,Olympiacos,ATTACKING_MIDFIELDER,POR,20.0,6.0,9.0,5.0
Nicolas Pépé,Villarreal,WINGER,CIV,20.0,6.0,8.0,6.0
Tijjani Reijnders,Man City,CENTRAL_MIDFIELDER,NED,20.0,5.0,8.0,7.0
Lukáš Provod,Slavia Praha,WINGER,CZE,20.0,5.0,8.0,7.0
Ibrahim Maza,Leverkusen,UNKNOWN,ALG,20.0,2.0,10.0,8.0
Jens Petter Hauge,Bodø/Glimt,UNKNOWN,NOR,19.0,9.0,7.0,3.0
Sondre Brunstad Fet,Bodø/Glimt,UNKNOWN,NOR,19.0,8.0,4.0,7.0
Alexis Mac Allister,Liverpool,UNKNOWN,ARG,19.0,7.0,6.0,6.0
Aleksandar Stanković,Club Brugge,UNKNOWN,SRB,19.0,7.0,6.0,6.0
Florian Wirtz,Liverpool,WINGER,GER,19.0,7.0,3.0,9.0
Gianluca Scamacca,Atalanta,UNKNOWN,ITA,19.0,5.0,7.0,7.0
Gabriel Sara,Galatasaray,UNKNOWN,BRA,19.0,4.0,9.0,6.0
Serhou Guirassy,B. Dortmund,STRIKER,GUI,18.0,10.0,4.0,4.0
Nicolo Tresoldi,Club Brugge,UNKNOWN,GER,18.0,7.0,6.0,5.0
Senny Mayulu,Paris,UNKNOWN,FRA,18.0,6.0,5.0,7.0
Enzo Fernández,Chelsea,UNKNOWN,ARG,18.0,5.0,7.0,6.0
Xavi Simons,Tottenham,UNKNOWN,NED,18.0,5.0,7.0,6.0
Nicolas Jackson,Bayern München,UNKNOWN,SEN,17.0,10.0,6.0,1.0
Francisco Conceição,Juventus,UNKNOWN,POR,17.0,6.0,4.0,7.0
Geny Catamo,Sporting CP,UNKNOWN,MOZ,17.0,5.0,8.0,4.0
Promise David,Union SG,UNKNOWN,CAN,16.0,8.0,6.0,2.0
Alejandro Garnacho,Chelsea,UNKNOWN,ARG,16.0,8.0,4.0,4.0
Estêvão,Chelsea,UNKNOWN,BRA,16.0,7.0,4.0,5.0
Cody Gakpo,Liverpool,WINGER,NED,16.0,7.0,2.0,7.0
Ousmane Dembélé,Paris,UNKNOWN,FRA,16.0,6.0,7.0,3.0
Chiquinho,Olympiacos,ATTACKING_MIDFIELDER,POR,16.0,6.0,6.0,4.0
Scott McTominay,Napoli,DEFENSIVE_MIDFIELDER,SCO,16.0,6.0,6.0,4.0
Patrick Berg,Bodø/Glimt,MIDFIELDER,NOR,16.0,6.0,4.0,6.0
Jude Bellingham,Real Madrid,UNKNOWN,ENG,16.0,4.0,6.0,6.0
Rayan Cherki,Man City,UNKNOWN,FRA,15.0,9.0,2.0,4.0
Gabriel Martinelli,Arsenal,WINGER,BRA,15.0,7.0,8.0,0.0
Igor Paixão,Marseille,UNKNOWN,BRA,15.0,7.0,8.0,0.0
Gorka Guruzeta,Athletic Club,STRIKER,ESP,15.0,7.0,4.0,4.0
Désiré Doué,Paris,UNKNOWN,FRA,15.0,6.0,4.0,5.0
Phil Foden,Man City,UNKNOWN,ENG,15.0,6.0,4.0,5.0
Aurélien Tchouaméni,Real Madrid,CENTRAL_MIDFIELDER,FRA,15.0,5.0,4.0,6.0
Virgil van Dijk,Liverpool,CENTRE_BACK,NED,15.0,4.0,8.0,3.0
Patrik Schick,Leverkusen,STRIKER,CZE,14.0,9.0,4.0,1.0
Sandro Tonali,Newcastle,DEFENSIVE_MIDFIELDER,ITA,14.0,7.0,4.0,3.0
Håkon Evjen,Bodø/Glimt,CENTRAL_MIDFIELDER,NOR,14.0,7.0,2.0,5.0
Jordan Larsson,Copenhagen,UNKNOWN,SWE,14.0,7.0,2.0,5.0
Christian Kofane,Leverkusen,UNKNOWN,CMR,14.0,6.0,6.0,2.0
Ismael Saibari,PSV,ATTACKING_MIDFIELDER,MAR,14.0,6.0,6.0,2.0
Nuno Mendes,Paris,FULL_BACK,POR,14.0,6.0,4.0,4.0
Fabián Ruiz,Paris,CENTRAL_MIDFIELDER,ESP,14.0,5.0,6.0,3.0
Barış Alper Yılmaz,Galatasaray,UNKNOWN,TUR,14.0,5.0,5.0,4.0
Maximilian Beier,B. Dortmund,STRIKER,GER,14.0,4.0,7.0,3.0
Tomáš Chorý,Slavia Praha,STRIKER,CZE,14.0,4.0,7.0,3.0
Leandro Trossard,Arsenal,WINGER,BEL,14.0,4.0,6.0,4.0
Pape Gueye,Villarreal,UNKNOWN,SEN,14.0,3.0,4.0,7.0
Noni Madueke,Arsenal,ATTACKING_MIDFIELDER,ENG,13.0,8.0,1.0,4.0
Mario Pašalić,Atalanta,CENTRAL_MIDFIELDER,CRO,13.0,7.0,5.0,1.0
João Neves,Paris,UNKNOWN,POR,13.0,6.0,5.0,2.0
João Pedro,Chelsea,UNKNOWN,BRA,13.0,6.0,5.0,2.0
Carlos Forbs,Club Brugge,UNKNOWN,POR,13.0,6.0,4.0,3.0
Pedro Gonçalves,Sporting CP,UNKNOWN,POR,13.0,6.0,4.0,3.0
Dodi Lukébakio,Benfica,UNKNOWN,BEL,13.0,6.0,4.0,3.0
Lazar Samardžić,Atalanta,UNKNOWN,SRB,13.0,6.0,3.0,4.0
Achraf Hakimi,Paris,WINGER,MAR,13.0,5.0,3.0,5.0
Rasmus Højlund,Napoli,UNKNOWN,DEN,13.0,5.0,3.0,5.0
Federico Valverde,Real Madrid,UNKNOWN,URU,13.0,4.0,2.0,7.0
Pedro Porro,Tottenham,FULL_BACK,ESP,13.0,3.0,5.0,5.0
Warren Zaïre-Emery,Paris,DEFENSIVE_MIDFIELDER,FRA,13.0,2.0,6.0,5.0
Valeri Gromyko,Kairat Almaty,UNKNOWN,BLR,13.0,1.0,8.0,4.0
Weston McKennie,Juventus,UNKNOWN,USA,12.0,8.0,2.0,2.0
Randal Kolo Muani,Tottenham,UNKNOWN,FRA,12.0,7.0,4.0,1.0
Serge Gnabry,Bayern München,WINGER,GER,12.0,5.0,6.0,1.0
Fábio Silva,B. Dortmund,STRIKER,POR,12.0,5.0,5.0,2.0
Franco Mastantuono,Real Madrid,UNKNOWN,ARG,12.0,5.0,5.0,2.0
Richarlison,Tottenham,UNKNOWN,BRA,12.0,5.0,5.0,2.0
Richard Ríos,Benfica,UNKNOWN,COL,12.0,5.0,3.0,4.0
Karim Adeyemi,B. Dortmund,STRIKER,GER,12.0,4.0,5.0,3.0
Dastan Satpayev,Kairat Almaty,UNKNOWN,KAZ,12.0,4.0,4.0,4.0
Pape Sarr,Tottenham,UNKNOWN,SEN,12.0,3.0,6.0,3.0
Ernest Poku,Leverkusen,UNKNOWN,NED,12.0,3.0,5.0,4.0
Georgiy Sudakov,Benfica,ATTACKING_MIDFIELDER,UKR,12.0,3.0,3.0,6.0
Ferran Torres,Barcelona,WINGER,ESP,12.0,3.0,3.0,6.0
Nick Woltemade,Newcastle,UNKNOWN,GER,12.0,2.0,5.0,5.0
Davide Zappacosta,Atalanta,FULL_BACK,ITA,12.0,2.0,4.0,6.0
Dan Burn,Newcastle,UNKNOWN,ENG,11.0,8.0,1.0,2.0
