player_name,team,position,nation,balls_recovered,tackles_total,tackles_won,tackles_lost,clearances
Odin Bjørtuft,Bodø/Glimt,UNKNOWN,NOR,81.0,18.0,9.0,9.0,57.0
Odilon Kossounou,Atalanta,CENTRE_BACK,CIV,78.0,12.0,5.0,7.0,26.0
Willian Pacho,Paris,UNKNOWN,ECU,78.0,7.0,5.0,2.0,37.0
Aitor Paredes,Athletic Club,UNKNOWN,ESP,77.0,18.0,6.0,12.0,39.0
Kevin Medina,Qarabağ,CENTRE_BACK,COL,74.0,21.0,11.0,10.0,51.0
Nuno Mendes,Paris,FULL_BACK,POR,72.0,21.0,11.0,10.0,15.0
Alejandro Grimaldo,Leverkusen,FULL_BACK,ESP,70.0,27.0,18.0,9.0,28.0
Dan Burn,Newcastle,UNKNOWN,ENG,70.0,21.0,12.0,9.0,40.0
Fredrik Sjøvold,Bodø/Glimt,UNKNOWN,NOR,68.0,11.0,4.0,7.0,27.0
Aurélien Tchouaméni,Real Madrid,CENTRAL_MIDFIELDER,FRA,65.0,37.0,20.0,17.0,16.0
Malick Thiaw,Newcastle,UNKNOWN,GER,65.0,14.0,4.0,10.0,33.0
David Zima,Slavia Praha,CENTRE_BACK,CZE,62.0,12.0,3.0,9.0,31.0
Isak Hien,Atalanta,UNKNOWN,SWE,62.0,9.0,4.0,5.0,30.0
Panagiotis Retsos,Olympiacos,CENTRE_BACK,GRE,61.0,14.0,8.0,6.0,37.0
Egor Sorokin,Kairat Almaty,CENTRE_BACK,RUS,61.0,9.0,6.0,3.0,61.0
Vitinha,Paris,UNKNOWN,POR,61.0,8.0,2.0,6.0,7.0
Patrick Berg,Bodø/Glimt,MIDFIELDER,NOR,60.0,14.0,6.0,8.0,45.0
Lloyd Kelly,Juventus,UNKNOWN,ENG,60.0,10.0,4.0,6.0,42.0
Nicolás Otamendi,Benfica,UNKNOWN,ARG,58.0,26.0,12.0,14.0,39.0
Davinson Sánchez,Galatasaray,CENTRE_BACK,COL,58.0,21.0,7.0,14.0,69.0
Morten Hjulmand,Sporting CP,CENTRAL_MIDFIELDER,DEN,58.0,16.0,7.0,9.0,11.0
Pierre Kalulu,Juventus,FULL_BACK,FRA,58.0,14.0,6.0,8.0,15.0
Youri Baas,Ajax,UNKNOWN,NED,58.0,12.0,9.0,3.0,23.0
Robert Andrich,Leverkusen,MIDFIELDER,GER,57.0,6.0,2.0,4.0,39.0
Lucas Torreira,Galatasaray,DEFENSIVE_MIDFIELDER,URU,56.0,36.0,14.0,22.0,17.0
Cristian Romero,Tottenham,UNKNOWN,ARG,56.0,19.0,12.0,7.0,20.0
Virgil van Dijk,Liverpool,CENTRE_BACK,NED,56.0,7.0,1.0,6.0,44.0
Ramy Bensebaini,B. Dortmund,CENTRE_BACK,ALG,55.0,26.0,14.0,12.0,27.0
Abdülkerim Bardakcı,Galatasaray,CENTRE_BACK,TUR,55.0,16.0,7.0,9.0,52.0
Sandro Tonali,Newcastle,DEFENSIVE_MIDFIELDER,ITA,55.0,11.0,4.0,7.0,7.0
Edmond Tapsoba,Leverkusen,CENTRE_BACK,BFA,54.0,19.0,10.0,9.0,36.0
Gabriel Pereira,Copenhagen,UNKNOWN,BRA,54.0,18.0,7.0,11.0,40.0
Dávid Hancko,Atleti,CENTRE_BACK,SVK,54.0,8.0,4.0,4.0,35.0
Nico Schlotterbeck,B. Dortmund,UNKNOWN,GER,54.0,7.0,3.0,4.0,10.0
Manuel Locatelli,Juventus,DEFENSIVE_MIDFIELDER,ITA,53.0,41.0,18.0,23.0,10.0
Mario Lemina,Galatasaray,UNKNOWN,GAB,53.0,25.0,12.0,13.0,23.0
Joel Ordoñez,Club Brugge,UNKNOWN,ECU,53.0,11.0,4.0,7.0,51.0
Ibrahima Konaté,Liverpool,CENTRE_BACK,FRA,53.0,6.0,4.0,2.0,28.0
Moises Caicedo,Chelsea,UNKNOWN,ECU,52.0,41.0,17.0,24.0,8.0
Brandon Mechele,Club Brugge,CENTRE_BACK,BEL,52.0,22.0,10.0,12.0,50.0
Lorenzo Pirola,Olympiacos,FULL_BACK,ITA,51.0,25.0,17.0,8.0,34.0
Håkon Evjen,Bodø/Glimt,CENTRAL_MIDFIELDER,NOR,51.0,25.0,11.0,14.0,15.0
Santiago Hezze,Olympiacos,UNKNOWN,ARG,51.0,21.0,12.0,9.0,9.0
Maximiliano Araújo,Sporting CP,UNKNOWN,URU,51.0,17.0,5.0,12.0,17.0
Pedro Bicalho,Qarabağ,UNKNOWN,BRA,51.0,15.0,6.0,9.0,27.0
Dean Huijsen,Real Madrid,UNKNOWN,ESP,51.0,14.0,10.0,4.0,39.0
Ryan Gravenberch,Liverpool,CENTRAL_MIDFIELDER,NED,51.0,13.0,3.0,10.0,9.0
Bruno,Pafos,UNKNOWN,BRA,50.0,24.0,9.0,15.0,10.0
Álvaro Carreras,Real Madrid,UNKNOWN,ESP,50.0,22.0,8.0,14.0,18.0
Joaquin Seys,Club Brugge,UNKNOWN,BEL,50.0,19.0,8.0,11.0,21.0
Kieran Trippier,Newcastle,FULL_BACK,ENG,50.0,15.0,12.0,3.0,15.0
Jerdy Schouten,PSV,UNKNOWN,NED,50.0,13.0,6.0,7.0,25.0
Enzo Barrenechea,Benfica,UNKNOWN,ARG,50.0,12.0,5.0,7.0,11.0
Aleix García,Leverkusen,UNKNOWN,ESP,50.0,11.0,5.0,6.0,23.0
Francisco Ortega,Olympiacos,UNKNOWN,ARG,50.0,9.0,1.0,8.0,23.0
Derrick Luckassen,Pafos,FULL_BACK,NED,50.0,8.0,2.0,6.0,66.0
Giuliano Simeone,Atleti,UNKNOWN,ARG,49.0,21.0,12.0,9.0,11.0
Matheus Silva,Qarabağ,UNKNOWN,BRA,49.0,21.0,9.0,12.0,29.0
Matteo Ruggeri,Atleti,UNKNOWN,ITA,49.0,14.0,6.0,8.0,22.0
Marten de Roon,Atalanta,CENTRAL_MIDFIELDER,NED,48.0,16.0,7.0,9.0,15.0
Warren Zaïre-Emery,Paris,DEFENSIVE_MIDFIELDER,FRA,48.0,15.0,9.0,6.0,5.0
Ismail Jakobs,Galatasaray,UNKNOWN,SEN,47.0,18.0,7.0,11.0,18.0
Aleksandar Stanković,Club Brugge,UNKNOWN,SRB,47.0,13.0,8.0,5.0,21.0
Dominik Szoboszlai,Liverpool,CENTRAL_MIDFIELDER,HUN,47.0,13.0,7.0,6.0,9.0
Renato Veiga,Villarreal,UNKNOWN,POR,47.0,13.0,6.0,7.0,29.0
Daniel Vivian,Athletic Club,UNKNOWN,ESP,47.0,12.0,4.0,8.0,29.0
Manuel Akanji,Inter,UNKNOWN,SUI,47.0,11.0,6.0,5.0,27.0
Iván Fresneda,Sporting CP,UNKNOWN,ESP,47.0,9.0,2.0,7.0,20.0
Fredrik André Bjørkan,Bodø/Glimt,UNKNOWN,NOR,46.0,17.0,8.0,9.0,26.0
Marquinhos,Paris,CENTRE_BACK,BRA,46.0,8.0,4.0,4.0,23.0
Caio Henrique,Monaco,UNKNOWN,BRA,46.0,6.0,4.0,2.0,18.0
Samuel Dahl,Benfica,UNKNOWN,SWE,45.0,16.0,13.0,3.0,18.0
Tomás Araújo,Benfica,CENTRE_BACK,POR,45.0,6.0,4.0,2.0,31.0
Federico Valverde,Real Madrid,UNKNOWN,URU,44.0,20.0,10.0,10.0,23.0
