player_name,team,position,nation,fouls_committed,fouls_suffered,yellow_cards,red_cards,minutes_played
Fermín López,Barcelona,CENTRAL_MIDFIELDER,ESP,21.0,1.0,2.0,0.0,687.0
Lloyd Kelly,Juventus,UNKNOWN,ENG,20.0,5.0,3.0,1.0,768.0
Bruno,Pafos,UNKNOWN,BRA,19.0,6.0,2.0,1.0,565.0
Jonathan Tah,Bayern München,CENTRE_BACK,GER,19.0,2.0,1.0,0.0,783.0
Moises Caicedo,Chelsea,UNKNOWN,ECU,18.0,9.0,1.0,0.0,851.0
Alessandro Buongiorno,Napoli,DEFENDER,ITA,18.0,6.0,0.0,0.0,598.0
Aitor Paredes,Athletic Club,UNKNOWN,ESP,17.0,11.0,4.0,0.0,630.0
Joelinton,Newcastle,STRIKER,BRA,17.0,5.0,3.0,0.0,591.0
Martin Zubimendi,Arsenal,DEFENSIVE_MIDFIELDER,ESP,17.0,4.0,4.0,0.0,681.0
Roland Sallai,Galatasaray,UNKNOWN,HUN,16.0,24.0,2.0,0.0,901.0
Barış Alper Yılmaz,Galatasaray,UNKNOWN,TUR,16.0,24.0,1.0,0.0,988.0
Sandro Tonali,Newcastle,DEFENSIVE_MIDFIELDER,ITA,16.0,15.0,2.0,0.0,955.0
Marcos Lopez,Copenhagen,UNKNOWN,PER,16.0,13.0,3.0,0.0,658.0
Enzo Fernández,Chelsea,UNKNOWN,ARG,15.0,19.0,2.0,0.0,747.0
Leandro Barreiro,Benfica,UNKNOWN,LUX,15.0,18.0,1.0,0.0,631.0
Karim Adeyemi,B. Dortmund,STRIKER,GER,15.0,15.0,2.0,0.0,475.0
Nikola Krstović,Atalanta,STRIKER,MNE,15.0,15.0,0.0,0.0,578.0
Kamiel Van De Perre,Union SG,UNKNOWN,BEL,15.0,4.0,2.0,0.0,598.0
Dan Burn,Newcastle,UNKNOWN,ENG,15.0,2.0,2.0,0.0,965.0
Luis Suárez,Sporting CP,STRIKER,COL,14.0,22.0,2.0,0.0,776.0
Ramy Bensebaini,B. Dortmund,CENTRE_BACK,ALG,14.0,15.0,4.0,1.0,773.0
Lucas Torreira,Galatasaray,DEFENSIVE_MIDFIELDER,URU,14.0,14.0,1.0,0.0,990.0
Michael Olise,Bayern München,UNKNOWN,FRA,14.0,11.0,3.0,0.0,721.0
Kevin Mac Allister,Union SG,UNKNOWN,ITA,14.0,11.0,2.0,0.0,697.0
Aurélien Tchouaméni,Real Madrid,CENTRAL_MIDFIELDER,FRA,14.0,10.0,2.0,0.0,1035.0
Micky van de Ven,Tottenham,UNKNOWN,NED,14.0,9.0,3.0,0.0,720.0
Marcus Thuram,Inter,WINGER,FRA,14.0,9.0,1.0,0.0,577.0
Teun Koopmeiners,Juventus,CENTRAL_MIDFIELDER,NED,14.0,7.0,0.0,0.0,745.0
Marc Cucurella,Chelsea,FULL_BACK,ESP,14.0,7.0,0.0,0.0,722.0
Aleksandr Golovin,Monaco,ATTACKING_MIDFIELDER,RUS,14.0,6.0,2.0,1.0,492.0
Julián Alvarez,Atleti,UNKNOWN,ARG,14.0,6.0,0.0,0.0,917.0
Raphael Onyedika,Club Brugge,UNKNOWN,NGA,14.0,5.0,3.0,0.0,509.0
Virgil van Dijk,Liverpool,CENTRE_BACK,NED,14.0,2.0,2.0,0.0,900.0
Marten de Roon,Atalanta,CENTRAL_MIDFIELDER,NED,14.0,1.0,2.0,0.0,899.0
Maximiliano Araújo,Sporting CP,UNKNOWN,URU,13.0,19.0,3.0,0.0,799.0
Mikel Merino,Arsenal,CENTRAL_MIDFIELDER,ESP,13.0,12.0,3.0,0.0,515.0
Désiré Doué,Paris,UNKNOWN,FRA,13.0,12.0,0.0,0.0,478.0
Fredrik André Bjørkan,Bodø/Glimt,UNKNOWN,NOR,13.0,10.0,1.0,0.0,912.0
Gorka Guruzeta,Athletic Club,STRIKER,ESP,13.0,8.0,2.0,0.0,469.0
Kasper Høgh,Bodø/Glimt,UNKNOWN,DEN,13.0,6.0,2.0,0.0,922.0
Davinson Sánchez,Galatasaray,CENTRE_BACK,COL,13.0,5.0,3.0,0.0,1020.0
Vanderson,Monaco,UNKNOWN,BRA,13.0,5.0,1.0,0.0,589.0
Santiago Hezze,Olympiacos,UNKNOWN,ARG,13.0,3.0,4.0,1.0,699.0
Youssoupha Mbodji,Slavia Praha,UNKNOWN,SEN,13.0,3.0,2.0,0.0,389.0
Dayot Upamecano,Bayern München,CENTRE_BACK,FRA,13.0,1.0,2.0,0.0,656.0
Morten Hjulmand,Sporting CP,CENTRAL_MIDFIELDER,DEN,12.0,21.0,5.0,0.0,820.0
Giuliano Simeone,Atleti,UNKNOWN,ARG,12.0,19.0,2.0,0.0,944.0
Ibrahim Maza,Leverkusen,UNKNOWN,ALG,12.0,11.0,1.0,0.0,789.0
Myles Lewis-Skelly,Arsenal,UNKNOWN,ENG,12.0,11.0,1.0,0.0,536.0
Alessandro Bastoni,Inter,CENTRE_BACK,ITA,12.0,10.0,2.0,0.0,691.0
Nicolás Otamendi,Benfica,UNKNOWN,ARG,12.0,9.0,3.0,0.0,900.0
Ismail Jakobs,Galatasaray,UNKNOWN,SEN,12.0,9.0,2.0,0.0,872.0
Kenan Yıldız,Juventus,UNKNOWN,TUR,12.0,9.0,2.0,0.0,768.0
Christian Kofane,Leverkusen,UNKNOWN,CMR,12.0,8.0,2.0,0.0,601.0
Francisco Ortega,Olympiacos,UNKNOWN,ARG,12.0,8.0,1.0,0.0,855.0
David Zima,Slavia Praha,CENTRE_BACK,CZE,12.0,7.0,2.0,0.0,690.0
Eric García,Barcelona,CENTRE_BACK,ESP,12.0,7.0,0.0,0.0,609.0
Amar Dedić,Benfica,UNKNOWN,BIH,12.0,6.0,1.0,0.0,805.0
Edmilson,Kairat Almaty,UNKNOWN,BRA,12.0,6.0,0.0,0.0,412.0
Ansgar Knauff,Frankfurt,UNKNOWN,GER,12.0,5.0,1.0,0.0,596.0
Romeo Vermant,Club Brugge,UNKNOWN,BEL,12.0,5.0,1.0,0.0,328.0
Aleksandar Pavlović,Bayern München,UNKNOWN,GER,12.0,5.0,0.0,0.0,815.0
Weston McKennie,Juventus,UNKNOWN,USA,12.0,4.0,1.0,0.0,899.0
Tomáš Chorý,Slavia Praha,STRIKER,CZE,12.0,3.0,1.0,0.0,451.0
Nico O’Reilly,Man City,UNKNOWN,ENG,12.0,2.0,2.0,0.0,671.0
Ko Itakura,Ajax,UNKNOWN,JPN,12.0,1.0,1.0,0.0,456.0
Pape Gueye,Villarreal,UNKNOWN,SEN,11.0,15.0,3.0,0.0,527.0
Lamine Camara,Monaco,UNKNOWN,SEN,11.0,15.0,2.0,0.0,516.0
Arda Güler,Real Madrid,UNKNOWN,TUR,11.0,15.0,1.0,0.0,870.0
Ismael Saibari,PSV,ATTACKING_MIDFIELDER,MAR,11.0,13.0,3.0,0.0,606.0
Santiago Mouriño,Villarreal,UNKNOWN,URU,11.0,13.0,3.0,0.0,533.0
Maghnes Akliouche,Monaco,UNKNOWN,FRA,11.0,13.0,0.0,0.0,834.0
Wout Weghorst,Ajax,STRIKER,NED,11.0,10.0,2.0,0.0,298.0
Bruno Guimarães,Newcastle,UNKNOWN,BRA,11.0,10.0,1.0,0.0,542.0
