player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Dani Carvajal,Real Madrid,FULL_BACK,ESP,100.0,48.0,48.0,50.0,2.0,1.0,4.0
Mateo Kovačić,Man City,ATTACKING_MIDFIELDER,CRO,100.0,36.0,36.0,0.0,0.0,0.0,0.0
Filip Pavic,Bayern München,DEFENDER,GER,100.0,33.0,33.0,0.0,0.0,0.0,0.0
Manuel Ángel,Real Madrid,UNKNOWN,ESP,100.0,20.0,20.0,0.0,0.0,0.0,0.0
Samy Mmaee,Qarabağ,CENTRE_BACK,MAR,100.0,19.0,19.0,0.0,0.0,0.0,0.0
Xavi Espart,Barcelona,MIDFIELDER,ESP,100.0,14.0,14.0,100.0,1.0,1.0,0.0
Amara Nallo,Liverpool,DEFENDER,ENG,100.0,13.0,13.0,0.0,0.0,0.0,0.0
Günay Güvenç,Galatasaray,UNKNOWN,TUR,100.0,12.0,12.0,0.0,0.0,0.0,4.0
Ben Davies,Tottenham,FULL_BACK,WAL,100.0,8.0,8.0,0.0,2.0,0.0,0.0
Zaid Romero,Club Brugge,UNKNOWN,ARG,100.0,6.0,6.0,0.0,0.0,0.0,0.0
Callum Olusesi,Tottenham,MIDFIELDER,ENG,100.0,5.0,5.0,0.0,0.0,0.0,0.0
Dane Scarlett,Tottenham,STRIKER,ENG,100.0,4.0,4.0,0.0,0.0,0.0,0.0
Jorge Cestero,Real Madrid,UNKNOWN,ESP,100.0,4.0,4.0,0.0,0.0,0.0,0.0
Wisdom Mike,Bayern München,FORWARD,GER,100.0,4.0,4.0,0.0,0.0,0.0,0.0
Jeremiah Mensah,Leverkusen,UNKNOWN,GER,100.0,4.0,4.0,0.0,0.0,0.0,0.0
Daniel Meso,Real Madrid,MIDFIELDER,ESP,100.0,4.0,4.0,0.0,0.0,0.0,0.0
Marc Guiu,Chelsea,UNKNOWN,ESP,100.0,3.0,3.0,0.0,0.0,0.0,0.0
Mansur Birkurmanov,Kairat Almaty,FORWARD,KAZ,100.0,3.0,3.0,0.0,0.0,0.0,0.0
Andre Annous,Arsenal,UNKNOWN,ENG,100.0,3.0,3.0,0.0,0.0,0.0,0.0
Brando Bailey-Joseph,Arsenal,MIDFIELDER,ENG,100.0,2.0,2.0,0.0,0.0,0.0,0.0
Pharrel Nash,Ajax,FORWARD,NED,100.0,2.0,2.0,0.0,0.0,0.0,0.0
Georgios Michael,Pafos,UNKNOWN,CYP,100.0,2.0,2.0,0.0,0.0,0.0,0.0
Ramazan Bagdat,Kairat Almaty,UNKNOWN,KAZ,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Sekou Keita,Union SG,FORWARD,BEL,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Marli Salmon,Arsenal,DEFENDER,ENG,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Gustaf Nilsson,Club Brugge,UNKNOWN,SWE,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Rodrigo Ribeiro,Sporting CP,UNKNOWN,POR,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Clayton,Olympiacos,UNKNOWN,BRA,100.0,1.0,1.0,0.0,0.0,0.0,0.0
Christian Mawissa,Monaco,UNKNOWN,FRA,98.67,68.0,66.0,0.0,2.0,0.0,1.0
Marc Guéhi,Man City,UNKNOWN,ENG,98.0,96.0,93.0,0.0,0.0,0.0,3.0
Wataru Endo,Liverpool,UNKNOWN,JPN,98.0,41.0,40.0,0.0,2.0,0.0,0.0
Andy Diouf,Inter,UNKNOWN,FRA,98.0,23.0,22.0,0.0,2.0,0.0,0.0
Trey Nyoni,Liverpool,UNKNOWN,ENG,97.5,25.0,24.0,0.0,1.0,0.0,0.0
Romeo Lavia,Chelsea,UNKNOWN,BEL,97.0,71.0,68.0,0.0,0.0,0.0,1.0
John Stones,Man City,CENTRE_BACK,ENG,96.75,277.0,267.0,0.0,1.0,0.0,8.0
Brede Moe,Bodø/Glimt,UNKNOWN,NOR,96.5,63.0,61.0,0.0,0.0,0.0,0.0
Nico González,Man City,UNKNOWN,ESP,96.38,384.0,367.0,0.0,0.0,0.0,7.0
Jonathan Tah,Bayern München,CENTRE_BACK,GER,96.3,604.0,583.0,0.0,1.0,0.0,3.0
Aaron Bouwman,Ajax,DEFENDER,NED,96.0,148.0,142.0,0.0,0.0,0.0,1.0
Joshua Acheampong,Chelsea,UNKNOWN,ENG,96.0,130.0,121.0,0.0,0.0,0.0,0.0
CJ Egan-Riley,Marseille,UNKNOWN,ENG,96.0,94.0,89.0,0.0,0.0,0.0,4.0
Mamadou Sarr,Chelsea,UNKNOWN,FRA,96.0,25.0,24.0,0.0,0.0,0.0,1.0
Manor Solomon,Villarreal,WINGER,ISR,96.0,16.0,15.0,14.29,7.0,1.0,2.0
Francesco Acerbi,Inter,CENTRE_BACK,ITA,95.8,309.0,295.0,0.0,1.0,0.0,4.0
Aleksandar Pavlović,Bayern München,UNKNOWN,GER,95.7,846.0,813.0,16.67,6.0,1.0,2.0
Rayan Aït-Nouri,Man City,UNKNOWN,ALG,95.67,242.0,227.0,57.15,7.0,4.0,5.0
Honest Ahanor,Atalanta,UNKNOWN,ITA,95.56,216.0,203.0,0.0,0.0,0.0,6.0
