player_name,team,position,goals,goals_right_foot,goals_left_foot,goals_head,goals_other,goals_inside_area,goals_outside_area,penalties_scored,matches_played
Kylian Mbappé,Real Madrid,STRIKER,13,11,0,2,0,11,2,3,9
Anthony Gordon,Newcastle,FORWARD,10,8,2,0,0,10,0,5,12
Harry Kane,Bayern München,STRIKER,10,8,1,1,0,10,0,3,9
Julián Alvarez,Atleti,UNKNOWN,8,6,2,0,0,8,0,2,11
Erling Haaland,Man City,UNKNOWN,8,1,5,2,0,8,0,1,10
Khvicha Kvaratskhelia,Paris,UNKNOWN,7,6,1,0,0,5,2,0,11
Victor Osimhen,Galatasaray,STRIKER,7,5,1,1,0,7,0,3,10
Vitinha,Paris,UNKNOWN,6,5,1,0,0,3,3,1,12
Harvey Barnes,Newcastle,WINGER,6,4,2,0,0,6,0,0,12
Gabriel Martinelli,Arsenal,WINGER,6,4,1,0,0,4,2,0,9
Jens Petter Hauge,Bodø/Glimt,UNKNOWN,6,3,3,0,0,5,1,0,12
Fermín López,Barcelona,CENTRAL_MIDFIELDER,6,3,3,0,0,5,1,0,9
Vinícius Júnior,Real Madrid,UNKNOWN,5,4,1,0,0,5,0,1,12
Gorka Guruzeta,Athletic Club,STRIKER,5,4,1,0,0,3,2,0,7
Luis Suárez,Sporting CP,STRIKER,5,4,0,1,0,5,0,2,10
Marcus Rashford,Barcelona,STRIKER,5,4,0,1,0,2,3,0,9
Kasper Høgh,Bodø/Glimt,UNKNOWN,5,3,2,0,0,5,0,0,12
Dominik Szoboszlai,Liverpool,CENTRAL_MIDFIELDER,5,3,2,0,0,3,2,1,10
Camilo Duran,Qarabağ,UNKNOWN,5,2,3,0,0,5,0,0,10
Folarin Balogun,Monaco,STRIKER,5,2,2,1,0,5,0,0,10
Alexander Sørloth,Atleti,STRIKER,5,1,2,2,0,5,0,0,11
Lamine Yamal,Barcelona,UNKNOWN,5,0,5,0,0,5,0,3,8
Luis Díaz,Bayern München,CENTRAL_MIDFIELDER,4,4,0,0,0,4,0,0,8
Marcos Llorente,Atleti,UNKNOWN,4,4,0,0,0,3,1,0,10
Igor Paixão,Marseille,UNKNOWN,4,4,0,0,0,1,3,0,8
Sondre Brunstad Fet,Bodø/Glimt,UNKNOWN,4,3,1,0,0,4,0,2,12
Lautaro Martínez,Inter,STRIKER,4,3,1,0,0,4,0,0,8
Randal Kolo Muani,Tottenham,UNKNOWN,4,3,0,1,0,4,0,0,9
Viktor Gyökeres,Arsenal,UNKNOWN,4,3,0,0,1,3,1,0,8
Robert Lewandowski,Barcelona,STRIKER,4,2,1,1,0,4,0,0,9
Weston McKennie,Juventus,UNKNOWN,4,2,0,2,0,4,0,0,10
Serhou Guirassy,B. Dortmund,STRIKER,4,2,0,2,0,4,0,0,10
Alejandro Grimaldo,Leverkusen,FULL_BACK,4,1,3,0,0,3,1,0,12
Francisco Trincão,Sporting CP,STRIKER,4,1,3,0,0,3,1,0,9
Désiré Doué,Paris,UNKNOWN,4,1,3,0,0,3,1,0,8
Lennart Karl,Bayern München,UNKNOWN,4,1,3,0,0,3,1,0,7
Lazar Samardžić,Atalanta,UNKNOWN,4,0,3,1,0,3,1,2,10
Patrik Schick,Leverkusen,STRIKER,4,0,1,3,0,4,0,0,9
Scott McTominay,Napoli,DEFENSIVE_MIDFIELDER,4,0,0,3,1,4,0,0,8
Enzo Fernández,Chelsea,UNKNOWN,3,3,0,0,0,3,0,2,10
Nicolo Tresoldi,Club Brugge,UNKNOWN,3,3,0,0,0,3,0,0,10
Leandro Andrade,Qarabağ,UNKNOWN,3,3,0,0,0,3,0,0,9
Gelson Martins,Olympiacos,ATTACKING_MIDFIELDER,3,3,0,0,0,3,0,0,9
Alisson Santos,Sporting CP,UNKNOWN,3,3,0,0,0,3,0,0,8
Nicolas Jackson,Bayern München,UNKNOWN,3,3,0,0,0,3,0,0,8
Ricardo Pepi,PSV,UNKNOWN,3,3,0,0,0,3,0,0,5
Dominic Solanke,Tottenham,UNKNOWN,3,3,0,0,0,3,0,0,3
Xavi Simons,Tottenham,UNKNOWN,3,3,0,0,0,2,1,2,10
Rayan Cherki,Man City,UNKNOWN,3,3,0,0,0,2,1,0,8
Pierre-Emerick Aubameyang,Marseille,STRIKER,3,3,0,0,0,2,1,0,8
Ismael Saibari,PSV,ATTACKING_MIDFIELDER,3,3,0,0,0,1,2,0,7
Felix Nmecha,B. Dortmund,MIDFIELDER,3,3,0,0,0,0,3,0,10
Federico Valverde,Real Madrid,UNKNOWN,3,2,1,0,0,3,0,0,11
Julian Brandt,B. Dortmund,WINGER,3,2,1,0,0,3,0,0,9
Dušan Vlahović,Juventus,STRIKER,3,2,1,0,0,3,0,0,4
Hugo Ekitiké,Liverpool,UNKNOWN,3,2,1,0,0,2,1,0,10
Jordan Teze,Monaco,FULL_BACK,3,2,1,0,0,2,1,0,9
João Pedro,Chelsea,UNKNOWN,3,2,1,0,0,2,1,0,8
Anan Khalaili,Union SG,UNKNOWN,3,2,1,0,0,2,1,0,8
Couhaib Driouech,PSV,UNKNOWN,3,2,1,0,0,2,1,0,7
Oscar Gloukh,Ajax,CENTRAL_MIDFIELDER,3,2,1,0,0,1,2,0,8
Estêvão,Chelsea,UNKNOWN,3,1,2,0,0,3,0,1,7
Raphinha,Barcelona,WINGER,3,1,2,0,0,3,0,1,7
Mason Greenwood,Marseille,STRIKER,3,1,2,0,0,3,0,0,8
Rasmus Højlund,Napoli,UNKNOWN,3,1,1,1,0,3,0,0,7
Gianluca Scamacca,Atalanta,UNKNOWN,3,1,0,2,0,3,0,0,10
Mario Pašalić,Atalanta,CENTRAL_MIDFIELDER,3,1,0,2,0,3,0,0,9
Viktor Daðason,Copenhagen,UNKNOWN,3,1,0,2,0,2,1,0,6
Jordan Larsson,Copenhagen,UNKNOWN,3,0,3,0,0,3,0,1,8
Michael Olise,Bayern München,UNKNOWN,3,0,3,0,0,2,1,0,9
Karim Adeyemi,B. Dortmund,STRIKER,3,0,3,0,0,2,1,0,9
